Date,Open,High,Low,Close,Volume,ETF_Open,ETF_High,ETF_Low,ETF_Close,ETF_Volume,STK_MA7,STK_MA21,STK_RSI,STK_MACD,ETF_MA7,ETF_MA21,ETF_RSI,ETF_MACD
2005-04-11,5.6653,5.6665,5.367,5.3684,229275996,17.495,17.495,17.301,17.317,806513,5.404571428571429,5.388919047619048,40.76655006018014,-0.009239315056913,17.350714285714286,17.35742857142857,50.89221933441033,-0.07881033210594879
2005-04-12,5.4441,5.5308,5.38,5.4632,274084040,17.301,17.442,17.121,17.423,714388,5.436942857142857,5.403485714285714,49.10882900408738,-0.005445303027138415,17.377142857142857,17.34509523809524,60.487443983143145,-0.0680654739923483
2005-04-13,5.504,5.5052,5.1724,5.2556,392996341,17.354,17.39,17.114,17.175,886375,5.436014285714285,5.407871428571428,43.036060892172436,-0.018971415504925204,17.359142857142857,17.31747619047619,48.85695579098798,-0.0786549387296418
2005-04-14,4.9687,5.1198,4.7178,4.7717,769047131,17.105,17.147,16.915,16.933,746445,5.3513285714285725,5.385319047619047,32.02806918341922,-0.06795430801025848,17.301571428571428,17.286809523809524,41.8934237037936,-0.10536001863801303
2005-04-15,4.6884,4.7704,4.5182,4.5271,482438341,16.722,16.749,16.411,16.42,1567917,5.223642857142857,5.34977619047619,28.185053193551227,-0.1250690607365419,17.17457142857143,17.240238095238094,31.886625134449574,-0.16600519499199962
2005-04-18,4.4911,4.6487,4.3538,4.5615,370169445,16.491,16.579,16.42,16.438,2297491,5.0784,5.309342857142856,30.77676538795437,-0.16564763839119134,17.017142857142858,17.194904761904763,34.437703928078335,-0.21019152752014136
2005-04-19,4.6821,4.7948,4.5938,4.7497,303124477,16.643,16.676,16.537,16.643,794928,4.9567428571428565,5.273538095238095,32.55070367181585,-0.18053914352356593,16.907,17.164,32.74293898592563,-0.22606182762030969
2005-04-20,4.8227,4.8332,4.5384,4.5476,266453208,16.849,16.849,16.429,16.491,894474,4.839485714285714,5.2236,31.681374619814548,-0.20627078835920365,16.788999999999998,17.125857142857143,29.706546087633455,-0.2480449763868755
2005-04-21,4.6591,4.7652,4.5974,4.7615,212976462,16.579,16.943,16.579,16.933,1649360,4.739242857142857,5.189152380952381,39.52185587168365,-0.2070169968388722,16.719,17.11604761904762,43.912175403285225,-0.2271822584531371
2005-04-22,4.7125,4.7382,4.4692,4.5462,234139228,16.803,16.883,16.615,16.73,731598,4.6379,5.146157142857143,35.43082726361202,-0.2224173938319014,16.655428571428573,17.093190476190475,39.20604894182053,-0.22444158476199405
2005-04-25,4.6727,4.7409,4.6244,4.7358,208444405,16.82,16.933,16.785,16.849,885927,4.632771428571429,5.112495238095238,37.643960328990445,-0.21682377445228784,16.64342857142857,17.07557142857143,41.077317488060665,-0.21024371694401367
2005-04-26,4.7064,4.8036,4.6258,4.6345,226668409,16.785,16.981,16.713,16.73,605730,4.648114285714286,5.073823809523809,34.812668795914504,-0.21805129460270667,16.687714285714286,17.051380952380953,39.737681475956165,-0.20621696903027953
2005-04-27,4.5845,4.6564,4.5476,4.6038,171368346,16.624,16.874,16.624,16.793,479972,4.654157142857143,5.038457142857143,30.21442477948264,-0.2189771147250834,16.738428571428575,17.03652380952381,35.92159800116755,-0.1956864175989459
2005-04-28,4.6463,4.6537,4.5129,4.5513,160641789,16.722,16.82,16.624,16.624,405506,4.625814285714285,4.994185714285715,28.93089316757664,-0.22139504086398176,16.735714285714288,17.001285714285714,35.34866450486591,-0.19868742240232962
2005-04-29,4.6167,4.6396,4.5102,4.6177,187399760,16.793,16.83,16.563,16.776,476597,4.635828571428571,4.959961904761904,33.85799661376511,-0.21546954093446935,16.77642857142857,16.97204761904762,40.167211718523795,-0.18664903673657562
2005-05-02,4.6422,4.6933,4.6128,4.6653,129954717,16.857,16.915,16.713,16.758,355676,4.622085714285714,4.9327571428571435,32.48759911556719,-0.2045744108935752,16.75142857142857,16.949190476190477,37.51408166534092,-0.17652609598150804
2005-05-03,4.6615,4.7052,4.6141,4.637,138580983,16.749,16.933,16.749,16.874,320580,4.635057142857143,4.902990476190476,35.26300719759762,-0.19596455788838973,16.772,16.928857142857144,44.05373345841471,-0.15732976238729535
2005-05-04,4.6422,4.7637,4.6231,4.7575,126218196,16.915,17.061,16.849,16.988,467373,4.6381571428571435,4.874085714285714,49.59087202127913,-0.17737319661209483,16.791857142857143,16.912285714285716,51.1444025318262,-0.13140295102559207
2005-05-05,4.7637,4.7729,4.6703,4.6972,108044030,16.988,17.089,16.9,16.962,809437,4.647114285714286,4.839623809523809,55.483204966304626,-0.165596224710586,16.825,16.895761904761905,64.1440496356906,-0.1116665267276673
2005-05-06,4.7358,4.7806,4.7114,4.7691,91044836,17.025,17.07,16.981,17.006,394596,4.670728571428571,4.801095238095239,56.5340546446703,-0.1487465034235278,16.855428571428572,16.87033333333333,64.6240984012681,-0.09142099171672768
2005-05-09,4.7717,4.7961,4.7064,4.7344,99190182,17.052,17.105,16.933,17.08,305505,4.696885714285714,4.7598142857142856,49.466935619443184,-0.1366181291567612,16.920571428571428,16.854428571428574,62.06515689182092,-0.06861413674557326
2005-05-10,4.6959,4.7704,4.6525,4.664,124488615,17.035,17.044,16.849,16.9,388858,4.7035,4.726271428571429,54.4652441594956,-0.1311748942850013,16.938285714285715,16.83457142857143,61.120173542315136,-0.06432256505312495
2005-05-11,4.5143,4.568,4.2401,4.5602,572078532,16.9,17.035,16.758,16.981,2087149,4.688485714285713,4.6832714285714285,41.56540636728764,-0.13369572286940645,16.970142857142857,16.813523809523808,51.623815478529544,-0.05376566341313449
2005-05-12,4.5358,4.5576,4.3538,4.3708,270744354,17.016,17.157,16.933,16.997,338802,4.650457142857143,4.641138095238095,42.48757872637822,-0.14925596494699533,16.987714285714283,16.80504761904762,60.34082041458442,-0.04360551924034439
2005-05-13,4.3862,4.5117,4.363,4.4528,196689936,17.105,17.301,17.035,17.21,2089958,4.606928571428571,4.6259523809523815,36.648423746859855,-0.1532048045810379,17.01942857142857,16.818238095238094,63.03249033757773,-0.018156910338696264
2005-05-16,4.4398,4.5732,4.4219,4.5526,132290797,17.238,17.38,17.165,17.373,805616,4.586271428571428,4.627166666666667,46.130586179884524,-0.14659144754695674,17.078142857142858,16.863619047619046,72.49824981457277,0.014991223818878296
2005-05-17,4.4988,4.5411,4.4231,4.5282,164419133,17.327,17.478,17.219,17.432,473221,4.551857142857143,4.625580952380953,46.40684348888232,-0.1416859234029113,17.139,16.91095238095238,72.42105192007384,0.045497696747812455
2005-05-18,4.5462,4.8098,4.4809,4.5899,177573060,17.442,17.736,17.442,17.682,1556563,4.531214285714285,4.617971428571429,51.81869513243333,-0.13130597231110386,17.225,16.960428571428572,85.12616122724683,0.08882330719928433
2005-05-19,4.5845,4.8253,4.5819,4.8086,221611987,17.745,17.817,17.682,17.781,968826,4.551871428571429,4.6304,57.86567712392295,-0.10423101379403477,17.350857142857144,17.021857142857144,84.5836192813691,0.129653078268678
2005-05-20,4.7819,4.8216,4.7626,4.8086,126332850,17.699,17.859,17.699,17.807,529127,4.587357142857143,4.632642857142857,56.1454663469967,-0.08183062163628474,17.46885714285714,17.063476190476187,85.9000676231342,0.16223876126300496
2005-05-23,4.865,5.1097,4.8471,5.0918,291180906,17.851,17.941,17.817,17.869,1146443,4.690357142857144,4.65862380952381,66.0050669171798,-0.04075646115216447,17.59342857142857,17.117714285714285,85.35891883793546,0.19086584895071823
2005-05-24,5.0518,5.1213,4.9982,5.0842,165695531,17.834,17.968,17.79,17.959,947456,4.780557142857143,4.6752142857142855,62.489486294936285,-0.008717657796774247,17.70042857142857,17.170571428571428,85.10484367934362,0.21829885669521687
2005-05-25,5.0737,5.1161,5.0354,5.0943,115818917,17.913,17.913,17.781,17.878,1221128,4.857942857142858,4.697109523809524,65.78675286553667,0.017289013297012268,17.77257142857143,17.225238095238094,81.8497905800438,0.23084267921076318
2005-05-26,5.1224,5.2427,4.9687,5.2173,146564901,17.968,18.109,17.968,18.081,878166,4.956385714285714,4.72632380952381,67.12255429422696,0.04727955032722164,17.865285714285715,17.28657142857143,83.65685587276397,0.25423350677467127
2005-05-27,5.2235,5.2235,5.1238,5.1942,88153399,18.136,18.136,17.994,18.056,503366,5.042714285714285,4.756938095238095,67.72278681150249,0.0683948764867619,17.918714285714284,17.354761904761904,81.52454706631559,0.2676681037916957
2005-05-31,5.2122,5.2173,5.0689,5.0918,112725720,18.073,18.073,17.941,17.941,530588,5.083171428571428,4.779514285714286,66.09238570170527,0.07599013343242156,17.94157142857143,17.410238095238096,85.0977739774991,0.2659696472803432
2005-06-01,5.1097,5.2199,5.1047,5.1611,126666104,17.959,18.182,17.921,18.119,943066,5.133528571428571,4.803123809523809,73.20614735082563,0.08660305402024715,17.986142857142855,17.47504761904762,86.01265746571062,0.27580738480244094
2005-06-02,5.1367,5.1635,5.0714,5.1275,104349496,18.1,18.199,17.931,18.199,516753,5.138628571428571,4.826480952380952,83.22065048284391,0.09125074902187436,18.033285714285714,17.538142857142855,86.55717687846688,0.2867536761966498
2005-06-03,4.8868,4.9406,4.8369,4.8973,267013051,18.163,18.172,17.968,18.004,657921,5.111928571428571,4.833138095238096,67.26749985102559,0.07548867816534965,18.039714285714286,17.58652380952381,74.41574351671561,0.2765064267055415
2005-06-06,4.9187,4.9469,4.8098,4.8562,226525416,18.047,18.047,17.887,17.977,1956104,5.077914285714286,4.840709523809524,62.357537550467676,0.05900057503655809,18.053857142857144,17.634857142857143,70.26845571559835,0.2631730383383726
2005-06-07,4.8319,4.8319,4.6677,4.6795,208220412,18.011,18.163,17.895,17.904,1158814,5.001085714285715,4.836442857142857,55.479104239365924,0.03131444779848547,18.02857142857143,17.67761904761905,65.6914887502122,0.24390416667362658
2005-06-08,4.6907,4.7704,4.6832,4.728,115229808,18.028,18.038,17.887,17.941,673443,4.934485714285715,4.836138095238096,55.04935958267565,0.013135123634199886,18.01214285714286,17.718619047619047,60.03098308254548,0.22897950463801564
2005-06-09,4.7382,4.8586,4.7151,4.8216,108913865,18.004,18.073,17.859,18.028,1971514,4.895885714285714,4.843642857142857,50.523180370794805,0.006209042039570178,18.024571428571427,17.772333333333332,59.655980582342636,0.22161711125241723
2005-06-10,4.7895,4.7895,4.5487,4.5858,189387246,18.038,18.038,17.826,17.931,508992,4.8137,4.844861904761905,42.46380693106933,-0.018098389888297817,17.997714285714288,17.817571428571426,54.59259202644728,0.2055854114631046
2005-06-13,4.5988,4.6884,4.5872,4.5974,121567036,17.869,18.1,17.869,18.004,826424,4.737971428571429,4.855652380952382,29.512679916146624,-0.03601106857949521,17.969857142857144,17.865523809523808,54.95958797249511,0.19650547104169647
2005-06-14,4.6141,4.6294,4.5781,4.6102,97548419,17.994,18.047,17.878,17.895,607637,4.696957142857143,4.863147619047619,30.44231686235976,-0.04861375338223439,17.954285714285714,17.898142857142858,47.681158936567954,0.17845702232359528
2005-06-15,4.71,4.7766,4.6487,4.755,157118398,18.028,18.038,17.763,18.004,561522,4.682499999999999,4.872785714285714,37.40066801068746,-0.046382651693415156,17.958142857142857,17.928190476190476,54.47443127653266,0.17097795825871742
2005-06-16,4.7626,4.8768,4.7151,4.8637,154511983,18.004,18.081,17.95,18.038,667145,4.708814285714285,4.888761904761905,36.728719025520135,-0.03543483525125257,17.977285714285717,17.95704761904762,48.26472907529769,0.16588207663228616
2005-06-17,4.9278,4.9356,4.8445,4.906,166475795,18.163,18.163,18.004,18.047,647457,4.734242857142857,4.903814285714286,39.336983461064236,-0.02307931142618269,17.992428571428572,17.974428571428568,49.63205176218418,0.1607171314647715
2005-06-20,4.8537,4.878,4.7961,4.8165,90687155,17.994,18.136,17.895,18.02,786038,4.733514285714286,4.904190476190476,39.7160996966564,-0.020275646760658184,17.991285714285716,17.985809523809525,53.48017555178639,0.1526851415874937
2005-06-21,4.8075,4.8906,4.7868,4.8484,103450911,18.065,18.127,18.004,18.1,801901,4.771028571428571,4.906085714285714,37.983244537879145,-0.01530325254395759,18.015428571428572,17.999761904761904,49.08389519076717,0.1510340367937566
2005-06-22,4.9098,4.9433,4.8841,4.9368,119734681,18.109,18.207,18.056,18.136,838233,4.819514285714285,4.898704761904762,42.96777004089623,-0.004181254197039408,18.034285714285716,18.01247619047619,46.82779390172283,0.15089104543918808
2005-06-23,4.9739,5.0943,4.9497,4.9803,188157265,18.136,18.313,17.994,17.994,976143,4.872385714285714,4.893757142857143,53.5494348702599,0.008050297262193418,18.04842857142857,18.014142857142854,49.468084369624194,0.13773182377462234
2005-06-24,5.006,5.0099,4.8253,4.8355,115865908,18.028,18.028,17.736,17.772,869733,4.8838857142857135,4.881433333333333,49.18689552312313,0.005990683194501578,18.015285714285714,18.009095238095238,40.96916249024815,0.10814289712831737
2005-06-27,4.7217,4.8791,4.6972,4.7512,167664516,17.699,17.79,17.604,17.63,1729786,4.867814285714286,4.859238095238095,53.03684816390014,-0.002416030769580857,17.956999999999997,17.98761904761905,38.62126200938729,0.07240065662618633
2005-06-28,4.8011,4.8138,4.76,4.7781,97962542,17.708,17.878,17.69,17.851,627888,4.849542857142857,4.83942380952381,52.1615318575706,-0.006829085518995193,17.929,17.977857142857143,46.7579246004244,0.06120202766723892
2005-06-29,4.7704,4.7754,4.6258,4.6576,126673007,17.869,17.95,17.826,17.878,662194,4.826842857142857,4.818747619047619,43.084836732005655,-0.019821318322451376,17.908714285714286,17.974857142857143,44.352409170983705,0.05388456021886512
2005-06-30,4.6884,4.7587,4.6499,4.7137,116551667,17.921,17.931,17.673,17.708,928446,4.8076,4.7974428571428565,56.35622623100373,-0.025299320452538687,17.852714285714285,17.955285714285715,42.04139858059982,0.03397617905311634
2005-07-01,4.7164,4.7344,4.6473,4.6742,69942386,17.817,17.851,17.708,17.755,1102346,4.770085714285714,4.775857142857142,53.71373234816995,-0.03245388827009954,17.798285714285715,17.934142857142856,40.94545412855534,0.02174053934715303
2005-07-05,4.6871,4.8854,4.6742,4.8637,126687338,17.638,17.921,17.638,17.869,715737,4.753428571428572,4.7742571428571425,60.46914937922846,-0.02257266489901344,17.78042857142857,17.927714285714284,49.057970516803216,0.02100047360205437
